,0
GHI,90
DNI,2
DHI,3738
ModA,27
ModB,63
Tamb,0
RH,0
WS,3109
WSgust,3500
WSstdev,5653
WD,0
WDstdev,4765
BP,865
Cleaning,485
Precipitation,1402
TModA,10
TModB,98
Month,0
