,0
GHI,314
DNI,1062
DHI,3415
ModA,137
ModB,206
Tamb,0
RH,0
WS,3510
WSgust,3915
WSstdev,5753
WD,0
WDstdev,3362
BP,1019
Cleaning,281
Precipitation,3338
TModA,153
TModB,609
Month,0
